Num_Credit_Card,Interest_Rate,Delay_from_due_date,Changed_Credit_Limit,Outstanding_Debt,Credit_Mix,Payment_of_Min_Amount,Credit_Score
4,8,25,6.27,1005.83,Standard,No,1
4,8,28,6.27,1005.83,Standard,No,1
4,8,25,12.27,1005.83,Standard,No,1
4,8,22,5.27,1005.83,Standard,No,1
5,3,3,4.68,1006.09,Good,No,2
5,3,0,4.68,1006.09,Good,No,1
3,20,29,10.47,1006.1,Standard,No,1
3,20,29,10.47,1006.1,Standard,No,1
3,20,31,10.47,1006.1,Standard,No,1
3,20,29,10.47,1006.1,Standard,No,1
4,6,4,11.24,1006.25,Good,No,2
4,6,9,8.24,1006.25,Good,No,2
4,6,6,7.24,1006.25,Good,No,2
7,11,8,1.02,1006.45,Good,No,0
7,11,13,1.02,1006.45,Good,No,1
7,11,8,1.02,1006.45,Good,No,0
7,11,8,1.02,1006.45,Good,No,0
4,4,10,5.37,1007.84,Good,No,2
4,4,10,2.37,1007.84,Good,No,2
4,4,14,5.37,1007.84,Good,No,2
4,4,12,5.37,1007.84,Good,No,2
5,17,19,4.68,1007.91,Standard,No,1
5,17,19,4.68,1007.91,Standard,No,1
5,17,19,4.68,1007.91,Standard,No,1
5,17,19,4.68,1007.91,Standard,No,1
4,11,5,7.27,1008.14,Standard,Yes,1
4,11,1,7.27,1008.14,Standard,Yes,1
4,11,6,7.27,1008.14,Standard,Yes,1
4,11,6,7.27,1008.14,Standard,Yes,1
3,6,0,8.68,1008.2,Good,No,1
3,6,0,8.68,1008.2,Good,No,1
3,6,-1,8.68,1008.2,Good,No,1
4,5,22,15.52,1008.3,Standard,No,1
4,5,19,11.52,1008.3,Standard,No,1
4,5,20,11.52,1008.3,Standard,No,1
3,13,4,19.98,1008.31,Standard,Yes,1
3,13,8,21.98,1008.31,Standard,Yes,1
3,13,6,19.98,1008.31,Standard,Yes,1
1,7,7,2.06,1008.32,Good,No,2
1,7,7,5.06,1008.32,Good,No,2
1,7,7,5.06,1008.32,Good,No,2
6,8,25,5.52,1008.58,Good,No,2
6,8,29,5.52,1008.58,Good,No,2
6,8,29,5.52,1008.58,Good,No,2
6,8,29,5.52,1008.58,Good,No,2
7,17,7,16.32,1008.6,Standard,Yes,1
7,17,7,13.32,1008.6,Standard,Yes,1
7,17,2,13.32,1008.6,Standard,Yes,1
7,17,7,13.32,1008.6,Standard,No,1
4,2,11,0.64,1009.12,Good,No,2
4,2,11,0.64,1009.12,Good,No,2
4,2,7,0.64,1009.12,Good,No,2
4,2,11,0.64,1009.12,Good,No,2
3,15,29,7.83,1009.2,Standard,No,1
3,15,29,7.83,1009.2,Standard,No,1
3,15,29,7.83,1009.2,Standard,No,1
3,15,29,7.83,1009.2,Standard,No,1
5,14,20,8.2,1009.33,Standard,Yes,1
5,14,20,8.2,1009.33,Standard,Yes,1
5,14,23,8.2,1009.33,Standard,No,1
5,14,20,8.2,1009.33,Standard,Yes,1
3,9,16,4.61,1009.38,Good,No,2
3,9,16,4.61,1009.38,Good,No,2
3,9,18,4.61,1009.38,Good,No,1
3,9,16,4.61,1009.38,Good,No,2
6,2,13,9.99,1009.92,Good,No,1
6,2,13,9.99,1009.92,Good,No,1
6,2,13,9.99,1009.92,Good,No,1
5,1,3,1.76,1009.97,Good,No,2
5,1,0,1.76,1009.97,Good,No,1
5,1,0,1.76,1009.97,Good,No,1
5,1,0,1.76,1009.97,Good,No,1
7,10,0,9.38,101.26,Good,No,2
7,10,0,9.38,101.26,Good,No,2
7,10,3,4.380000000000001,101.26,Good,No,1
8,10,0,9.38,101.26,Good,No,2
2,1,-5,4.49,101.29,Good,No,2
2,1,0,4.49,101.29,Good,No,2
2,1,0,4.49,101.29,Good,No,2
2,1,-4,4.49,101.29,Good,No,2
4,12,12,4.9,101.29,Good,No,1
4,12,9,4.9,101.29,Good,No,2
4,12,12,4.9,101.29,Good,No,1
4,12,12,4.9,101.29,Good,No,1
1,2,6,0.57,101.57,Good,No,2
1,2,5,5.57,101.57,Good,No,2
1,2,9,0.57,101.57,Good,No,2
1,2,2,7.57,101.57,Good,No,2
2,8,14,6.67,1010.06,Good,No,2
2,8,14,6.67,1010.06,Good,No,2
2,8,14,6.67,1010.06,Good,No,2
4,6,14,11.38,1010.08,Standard,Yes,1
4,6,6,12.38,1010.08,Standard,Yes,1
4,6,9,11.38,1010.08,Standard,Yes,1
4,6,7,11.38,1010.08,Standard,Yes,1
4,5,8,4.63,1010.15,Good,No,2
4,5,4,4.63,1010.15,Good,No,2
4,5,0,4.63,1010.15,Good,No,1
4,5,4,4.63,1010.15,Good,No,2
4,2,8,6.87,1010.16,Good,No,2
4,2,8,6.87,1010.16,Good,No,2
4,2,8,6.87,1010.16,Good,No,2
5,9,0,5.29,1010.56,Good,No,2
5,9,-4,5.29,1010.56,Good,No,2
5,9,-2,5.29,1010.56,Good,No,2
5,9,0,5.29,1010.56,Good,No,2
4,18,17,8.3,1010.73,Standard,No,1
4,18,15,8.3,1010.73,Standard,No,1
4,18,18,8.3,1010.73,Standard,No,1
4,18,16,8.3,1010.73,Standard,No,1
3,17,11,4.47,1010.89,Standard,Yes,1
3,17,16,2.47,1010.89,Standard,Yes,1
3,17,11,4.47,1010.89,Standard,Yes,1
3,17,11,4.47,1010.89,Standard,Yes,1
3,10,17,1.79,1011.03,Standard,No,1
3,10,16,1.79,1011.03,Standard,No,1
3,10,17,1.79,1011.03,Standard,No,1
3,14,13,7.29,1011.38,Standard,No,1
3,14,15,4.29,1011.38,Standard,No,1
3,14,13,4.29,1011.38,Standard,No,1
3,14,15,4.29,1011.38,Standard,No,1
3,19,12,11.98,1012.18,Standard,Yes,1
3,19,12,14.98,1012.18,Standard,Yes,1
3,19,9,11.98,1012.18,Standard,Yes,1
3,19,12,9.98,1012.18,Standard,Yes,1
5,3,11,2.84,1012.22,Good,No,2
5,3,11,2.84,1012.22,Good,No,2
5,3,11,0.8399999999999999,1012.22,Good,No,2
5,3,13,2.84,1012.22,Good,No,2
7,5,14,14.63,1012.23,Standard,Yes,1
7,5,14,14.63,1012.23,Standard,Yes,1
7,5,14,14.63,1012.23,Standard,No,1
7,5,14,13.63,1012.23,Standard,Yes,1
7,10,30,9.11,1012.37,Standard,Yes,1
7,10,30,9.11,1012.37,Standard,Yes,1
7,10,30,9.11,1012.37,Standard,Yes,1
7,10,29,9.11,1012.37,Standard,Yes,1
3,20,8,4.28,1012.39,Standard,Yes,1
3,20,10,4.28,1012.39,Standard,No,1
3,20,10,4.28,1012.39,Standard,Yes,1
3,20,10,4.28,1012.39,Standard,Yes,1
4,15,20,18.79,1012.92,Standard,Yes,1
4,15,24,18.79,1012.92,Standard,No,1
4,15,17,18.79,1012.92,Standard,No,1
4,15,17,18.79,1012.92,Standard,Yes,1
4,19,14,4.92,1012.93,Standard,No,1
6,10,15,5.79,1013.24,Good,No,1
6,10,15,9.79,1013.24,Good,No,1
6,10,15,0.79,1013.24,Good,No,1
6,10,15,5.79,1013.24,Good,No,1
5,13,28,16.59,1013.53,Standard,No,1
5,13,28,16.59,1013.53,Standard,Yes,1
5,13,29,23.59,1013.53,Standard,Yes,1
5,13,28,13.59,1013.53,Standard,Yes,1
4,12,27,7.27,1013.57,Standard,Yes,1
4,12,22,8.27,1013.57,Standard,Yes,1
4,12,24,7.27,1013.57,Standard,Yes,1
4,12,24,8.27,1013.57,Standard,Yes,1
4,1,5,11.47,1013.66,Good,No,2
4,1,5,11.47,1013.66,Good,No,2
4,1,5,11.47,1013.66,Good,No,2
4,1,5,11.47,1013.66,Good,No,2
4,12,25,11.03,1013.71,Standard,No,1
4,12,25,11.03,1013.71,Standard,No,1
4,12,25,11.03,1013.71,Standard,No,1
4,12,25,11.03,1013.71,Standard,No,1
1,7,11,7.63,1013.79,Good,No,2
1,7,11,7.63,1013.79,Good,No,2
1,7,11,7.63,1013.79,Good,No,2
3,6,4,7.87,1013.95,Good,No,1
3,6,4,7.87,1013.95,Good,No,1
3,6,4,4.87,1013.95,Good,No,1
3,6,4,7.87,1013.95,Good,No,1
6,6,22,10.3,1014.25,Standard,No,1
6,6,22,10.3,1014.25,Standard,Yes,1
6,6,22,10.3,1014.25,Standard,Yes,1
6,6,25,10.3,1014.25,Standard,Yes,1
5,11,20,3.36,1014.29,Standard,No,1
5,11,20,6.359999999999999,1014.29,Standard,No,1
5,11,20,3.36,1014.29,Standard,No,1
5,11,25,3.36,1014.29,Standard,No,1
5,12,9,1.27,1014.5,Good,No,2
5,12,9,1.27,1014.5,Good,No,2
5,12,9,1.27,1014.5,Good,No,2
5,12,9,1.27,1014.5,Good,No,2
4,7,12,9.79,1014.51,Good,No,2
4,7,12,8.79,1014.51,Good,No,1
4,7,12,8.79,1014.51,Good,No,1
4,7,12,8.79,1014.51,Good,No,1
4,9,20,11.74,1014.83,Standard,No,1
4,9,20,11.74,1014.83,Standard,No,1
4,9,20,11.74,1014.83,Standard,No,1
4,9,20,11.74,1014.83,Standard,No,1
3,5,6,7.5,1015.0,Good,No,2
3,5,5,1.5,1015.0,Good,No,1
3,5,6,1.5,1015.0,Good,No,1
7,2,5,4.36,1015.21,Standard,No,1
7,2,6,4.36,1015.21,Standard,No,1
7,2,6,4.36,1015.21,Standard,No,1
6,20,11,12.57,1015.24,Standard,Yes,1
6,20,11,12.57,1015.24,Standard,Yes,1
6,20,11,12.57,1015.24,Standard,Yes,1
6,20,7,5.57,1015.24,Standard,Yes,1
1,11,14,9.72,1015.37,Good,No,2
1,11,14,9.72,1015.37,Good,No,2
1,11,14,9.72,1015.37,Good,No,2
1,11,14,9.72,1015.37,Good,No,2
4,7,0,10.33,1015.4,Good,No,1
4,7,0,4.33,1015.4,Good,No,1
4,7,0,4.33,1015.4,Good,No,1
4,7,0,4.33,1015.4,Good,No,1
6,12,23,4.64,1015.61,Standard,No,1
6,12,23,4.64,1015.61,Standard,No,1
6,12,23,4.64,1015.61,Standard,No,1
6,12,23,4.64,1015.61,Standard,No,1
7,6,1,2.25,1015.74,Good,No,2
7,6,1,2.25,1015.74,Good,No,2
7,6,1,2.25,1015.74,Good,No,2
7,6,2,2.25,1015.74,Good,No,1
6,9,9,8.98,1015.79,Standard,Yes,1
6,9,9,8.98,1015.79,Standard,Yes,1
6,9,9,8.98,1015.79,Standard,Yes,1
4,10,29,9.34,1015.81,Good,No,0
4,10,29,3.34,1015.81,Good,No,1
4,10,29,3.34,1015.81,Good,No,1
6,8,17,8.4,1015.84,Standard,Yes,1
6,8,17,8.4,1015.84,Standard,Yes,1
6,8,17,8.4,1015.84,Standard,No,1
6,8,17,3.4000000000000004,1015.84,Standard,No,1
7,9,13,10.73,1016.0,Good,No,1
7,9,14,10.73,1016.0,Good,No,1
7,9,14,6.73,1016.0,Good,No,2
7,9,19,10.73,1016.0,Good,No,0
4,2,14,4.7,1016.08,Good,No,2
4,2,16,4.7,1016.08,Good,No,1
4,2,14,4.7,1016.08,Good,No,2
7,4,23,4.98,1016.14,Good,No,0
7,4,18,4.98,1016.14,Good,No,0
7,4,18,7.98,1016.14,Good,No,0
7,4,18,3.98,1016.14,Good,No,1
6,6,12,1.97,1016.37,Good,No,1
6,6,12,1.97,1016.37,Good,No,1
6,6,12,1.97,1016.37,Good,No,1
6,6,12,1.97,1016.37,Good,No,1
5,5,13,9.33,1016.51,Good,No,2
5,5,13,9.33,1016.51,Good,No,2
5,5,13,9.33,1016.51,Good,No,2
5,5,13,8.33,1016.51,Good,No,2
5,9,12,2.7,1017.06,Good,No,1
5,9,12,2.7,1017.06,Good,No,1
5,9,12,1.7000000000000002,1017.06,Good,No,1
5,15,6,9.8,1017.2,Standard,Yes,1
5,15,6,9.8,1017.2,Standard,Yes,1
5,15,6,14.8,1017.2,Standard,Yes,1
5,15,6,9.8,1017.2,Standard,Yes,1
4,18,15,12.84,1017.21,Standard,Yes,1
4,18,10,12.84,1017.21,Standard,Yes,1
4,18,15,12.84,1017.21,Standard,Yes,1
4,18,17,12.84,1017.21,Standard,No,1
6,7,25,9.25,1017.45,Standard,No,1
6,7,25,9.25,1017.45,Standard,Yes,1
6,7,23,16.25,1017.45,Standard,No,1
6,7,25,9.25,1017.45,Standard,Yes,1
5,9,0,3.11,1017.45,Good,No,1
5,9,-5,3.11,1017.45,Good,No,1
5,9,1,3.11,1017.45,Good,No,1
5,9,0,3.11,1017.45,Good,No,1
7,13,25,8.33,1017.73,Standard,Yes,1
7,13,25,8.33,1017.73,Standard,Yes,1
7,13,25,8.33,1017.73,Standard,Yes,1
7,13,25,8.33,1017.73,Standard,Yes,1
3,1,10,7.46,1018.92,Good,No,2
3,1,6,7.46,1018.92,Good,No,2
3,1,10,7.46,1018.92,Good,No,2
6,8,2,10.55,1019.14,Good,No,1
6,8,2,10.55,1019.14,Good,No,1
6,8,2,10.55,1019.14,Good,No,1
6,8,7,4.550000000000002,1019.14,Good,No,1
3,10,27,7.66,1019.44,Standard,Yes,1
3,10,27,7.66,1019.44,Standard,Yes,1
3,10,27,7.66,1019.44,Standard,Yes,1
3,10,27,7.66,1019.44,Standard,Yes,1
4,5,2,3.98,1019.46,Good,No,1
4,5,7,3.98,1019.46,Good,No,2
4,5,7,3.98,1019.46,Good,No,2
4,5,7,3.98,1019.46,Good,No,2
3,19,14,12.31,1019.48,Standard,Yes,1
3,19,14,7.31,1019.48,Standard,Yes,1
3,19,14,7.31,1019.48,Standard,Yes,1
3,19,14,7.31,1019.48,Standard,Yes,1
4,2,-1,6.94,102.02,Good,No,1
4,2,7,6.94,102.02,Good,No,1
4,2,3,8.940000000000003,102.02,Good,No,2
4,2,3,6.94,102.02,Good,No,1
3,3,20,4.84,102.46,Good,No,2
3,3,20,1.84,102.46,Good,No,1
3,3,20,1.84,102.46,Good,No,1
3,3,20,1.84,102.46,Good,No,1
6,6,25,6.74,102.53,Standard,No,1
6,6,21,6.74,102.53,Standard,No,1
6,6,25,6.74,102.53,Standard,No,1
4,17,5,12.58,102.66,Standard,Yes,1
4,17,5,12.58,102.66,Standard,Yes,1
4,17,9,12.58,102.66,Standard,Yes,1
4,17,9,19.58,102.66,Standard,Yes,1
7,7,3,7.69,102.81,Good,No,1
7,7,5,7.69,102.81,Good,No,1
7,7,3,7.69,102.81,Good,No,1
7,7,3,7.69,102.81,Good,No,1
6,19,10,9.55,1020.01,Standard,No,1
6,19,10,9.55,1020.01,Standard,No,1
6,19,7,9.55,1020.01,Standard,No,1
7,15,25,7.38,1020.05,Standard,No,1
7,15,25,7.38,1020.05,Standard,Yes,1
7,15,27,7.38,1020.05,Standard,Yes,1
7,15,25,7.38,1020.05,Standard,Yes,1
5,8,2,7.03,1020.27,Good,No,2
5,8,2,7.03,1020.27,Good,No,2
5,8,2,7.03,1020.27,Good,No,2
5,6,2,8.7,1020.66,Standard,Yes,1
5,6,5,8.7,1020.66,Standard,Yes,1
5,6,5,8.7,1020.66,Standard,Yes,1
5,6,8,8.7,1020.66,Standard,Yes,1
2,10,0,0.78,1020.69,Good,No,2
2,10,2,0.78,1020.69,Good,No,2
2,10,0,0.78,1020.69,Good,No,2
1,5,3,9.31,1020.77,Good,No,2
1,5,3,9.31,1020.77,Good,No,2
1,5,3,2.3100000000000005,1020.77,Good,No,2
1,5,3,14.31,1020.77,Good,No,2
3,1,13,7.15,1020.94,Good,No,2
3,1,13,7.15,1020.94,Good,No,2
3,1,13,7.15,1020.94,Good,No,2
3,1,13,12.15,1020.94,Good,No,2
4,4,10,1.33,1021.07,Good,No,2
4,4,10,1.33,1021.07,Good,No,2
5,15,30,3.34,1021.5,Standard,No,1
5,15,27,3.34,1021.5,Standard,No,1
5,15,26,3.34,1021.5,Standard,No,1
5,15,29,3.34,1021.5,Standard,No,1
7,13,12,13.53,1021.82,Standard,Yes,1
7,13,12,13.53,1021.82,Standard,Yes,1
7,13,12,13.53,1021.82,Standard,Yes,1
4,17,7,18.88,1021.88,Standard,Yes,1
4,17,4,16.88,1021.88,Standard,Yes,1
4,17,7,11.88,1021.88,Standard,Yes,1
4,17,7,18.88,1021.88,Standard,Yes,1
5,6,10,10.04,1022.13,Good,No,2
5,6,10,10.04,1022.13,Good,No,2
5,6,10,10.04,1022.13,Good,No,2
5,6,10,10.04,1022.13,Good,No,2
4,3,-1,3.7,1022.38,Good,No,1
4,3,0,3.7,1022.38,Good,No,1
4,3,3,3.7,1022.38,Good,No,2
3,12,30,18.95,1022.51,Standard,Yes,1
3,12,30,11.95,1022.51,Standard,Yes,1
3,12,27,18.95,1022.51,Standard,Yes,1
3,12,27,18.95,1022.51,Standard,Yes,1
3,14,9,14.56,1022.67,Standard,Yes,1
3,14,9,11.56,1022.67,Standard,Yes,1
3,14,14,11.56,1022.67,Standard,Yes,1
3,14,10,11.56,1022.67,Standard,Yes,1
5,5,14,3.71,1022.71,Good,No,2
5,5,13,3.71,1022.71,Good,No,2
5,5,14,3.71,1022.71,Good,No,2
5,20,12,7.4,1022.77,Standard,Yes,1
5,20,12,7.4,1022.77,Standard,Yes,1
5,20,12,7.4,1022.77,Standard,Yes,1
3,5,7,9.56,1022.8,Good,No,1
3,5,2,4.5600000000000005,1022.8,Good,No,2
3,5,6,10.56,1022.8,Good,No,1
3,5,7,9.56,1022.8,Good,No,1
4,11,13,12.24,1023.49,Standard,Yes,1
4,11,18,12.24,1023.49,Standard,Yes,1
4,11,14,12.24,1023.49,Standard,Yes,1
4,11,13,12.24,1023.49,Standard,Yes,1
2,8,14,2.85,1023.62,Good,No,2
2,8,14,2.85,1023.62,Good,No,2
2,8,14,2.85,1023.62,Good,No,2
2,8,14,2.85,1023.62,Good,No,2
5,10,9,11.59,1023.93,Good,No,2
5,10,13,8.59,1023.93,Good,No,1
5,10,13,7.59,1023.93,Good,No,1
7,4,18,10.95,1024.09,Good,No,0
7,4,18,3.95,1024.09,Good,No,1
7,4,18,3.95,1024.09,Good,No,1
6,13,24,10.42,1024.19,Standard,Yes,1
6,13,24,10.42,1024.19,Standard,Yes,1
6,13,24,17.42,1024.19,Standard,Yes,1
6,13,24,10.42,1024.19,Standard,Yes,1
7,16,29,8.79,1024.27,Standard,Yes,1
7,16,29,8.79,1024.27,Standard,Yes,1
7,16,27,8.79,1024.27,Standard,Yes,1
7,16,29,8.79,1024.27,Standard,Yes,1
6,6,22,6.27,1024.39,Good,No,0
6,6,22,6.27,1024.39,Good,No,0
6,6,22,6.27,1024.39,Good,No,0
6,6,22,6.27,1024.39,Good,No,0
4,12,10,2.37,1024.47,Standard,No,1
4,12,10,2.37,1024.47,Standard,No,1
4,12,10,2.37,1024.47,Standard,No,1
4,12,11,2.37,1024.47,Standard,No,1
3,4,8,0.5,1024.5,Good,No,2
3,4,8,0.5,1024.5,Good,No,2
3,4,8,0.5,1024.5,Good,No,2
3,4,8,0.5,1024.5,Good,No,2
5,17,30,12.02,1024.56,Standard,Yes,1
5,17,30,12.02,1024.56,Standard,Yes,1
5,17,30,12.02,1024.56,Standard,Yes,1
5,17,30,6.02,1024.56,Standard,Yes,1
7,20,22,15.37,1024.56,Standard,Yes,1
7,20,22,15.37,1024.56,Standard,Yes,1
7,20,17,15.37,1024.56,Standard,Yes,1
7,20,22,15.37,1024.56,Standard,Yes,1
3,7,17,15.63,1024.88,Standard,Yes,1
3,7,17,15.63,1024.88,Standard,Yes,1
3,7,17,15.63,1024.88,Standard,Yes,1
3,7,17,15.63,1024.88,Standard,Yes,1
5,2,26,1.58,1025.3,Good,No,2
5,2,26,2.58,1025.3,Good,No,2
5,2,26,6.58,1025.3,Good,No,2
7,11,13,1.64,1025.71,Good,No,1
7,11,13,1.64,1025.71,Good,No,1
7,11,13,2.64,1025.71,Good,No,1
7,11,8,1.64,1025.71,Good,No,1
6,16,23,6.57,1025.79,Standard,Yes,1
6,16,22,6.57,1025.79,Standard,Yes,1
6,16,23,6.57,1025.79,Standard,No,1
6,16,27,6.57,1025.79,Standard,Yes,1
3,7,5,5.0,1025.81,Good,No,1
3,7,5,3.0,1025.81,Good,No,2
3,7,5,3.0,1025.81,Good,No,2
3,7,0,8.0,1025.81,Good,No,1
7,18,26,9.85,1025.88,Standard,No,1
7,18,31,9.85,1025.88,Standard,Yes,1
7,18,26,9.85,1025.88,Standard,Yes,1
6,3,17,2.74,1025.92,Good,No,0
6,3,17,6.74,1025.92,Good,No,1
6,3,17,2.74,1025.92,Good,No,0
6,3,16,2.74,1025.92,Good,No,0
5,16,24,24.19,1025.98,Standard,Yes,1
5,16,19,11.19,1025.98,Standard,Yes,1
5,16,19,17.19,1025.98,Standard,Yes,1
5,16,19,17.19,1025.98,Standard,No,1
7,7,18,9.38,1026.13,Standard,Yes,1
7,7,19,4.380000000000001,1026.13,Standard,Yes,1
7,7,19,9.38,1026.13,Standard,Yes,1
4,12,8,6.89,1026.46,Good,No,2
4,12,8,6.89,1026.46,Good,No,2
4,12,10,6.89,1026.46,Good,No,2
4,12,8,6.89,1026.46,Good,No,2
4,6,11,1.19,1026.7,Good,No,2
4,6,8,1.19,1026.7,Good,No,2
4,6,11,1.19,1026.7,Good,No,2
3,2,14,2.88,1027.15,Good,No,2
3,2,14,2.88,1027.15,Good,No,2
3,2,14,9.88,1027.15,Good,No,2
1,4,9,3.18,1027.38,Good,No,2
1,4,7,3.18,1027.38,Good,No,2
1,4,9,3.18,1027.38,Good,No,2
4,10,12,4.81,1027.64,Good,No,1
4,10,10,4.81,1027.64,Good,No,1
4,10,9,4.81,1027.64,Good,No,1
4,10,10,4.81,1027.64,Good,No,1
3,7,1,5.2,1027.77,Good,No,2
3,7,1,5.2,1027.77,Good,No,2
3,7,-2,5.2,1027.77,Good,No,2
5,9,15,9.88,1027.83,Standard,Yes,1
5,9,15,4.880000000000001,1027.83,Standard,Yes,1
5,9,15,9.88,1027.83,Standard,Yes,1
5,9,14,9.88,1027.83,Standard,Yes,1
5,10,30,13.23,1028.07,Standard,Yes,1
5,10,30,20.23,1028.07,Standard,Yes,1
5,10,30,13.23,1028.07,Standard,Yes,1
5,10,30,13.23,1028.07,Standard,Yes,1
3,2,12,4.98,1028.1,Good,No,2
3,2,12,4.98,1028.1,Good,No,2
3,2,12,4.98,1028.1,Good,No,2
3,2,7,4.98,1028.1,Good,No,2
5,19,6,10.56,1028.5,Standard,Yes,1
5,19,6,10.56,1028.5,Standard,No,1
5,19,6,10.56,1028.5,Standard,Yes,1
5,19,8,10.56,1028.5,Standard,Yes,1
1,8,13,7.91,1028.59,Good,No,2
1,8,15,7.91,1028.59,Good,No,2
1,8,19,13.91,1028.59,Good,No,2
